interaction,interactionDelta,intent,intentSuccess,stepDelta,step,stepDuration,totalDuration,highlightIngredients,group,interface,recipe,timestamp,session,_id
"unknownKey",9240,"unknown",false,0,3,9240,1970779,true,2,"sbs","eggs","2014-12-07T18:41:34.344Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f5e7f671a49094b48d1)
"unknownKey",80,"unknown",false,0,3,9320,1970859,true,2,"sbs","eggs","2014-12-07T18:41:34.423Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f5e7f671a49094b48d2)
"unknownKey",22478,"unknown",false,0,3,31798,1993337,true,2,"sbs","eggs","2014-12-07T18:41:56.901Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f757f671a49094b48d3)
"unknownKey",7,"unknown",false,0,3,31805,1993344,true,2,"sbs","eggs","2014-12-07T18:41:56.909Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f757f671a49094b48d4)
"unknownKey",9160,"unknown",false,0,3,40965,2002504,true,2,"sbs","eggs","2014-12-07T18:42:06.069Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f7e7f671a49094b48d5)
"unknownKey",952,"unknown",false,0,3,41917,2003456,true,2,"sbs","eggs","2014-12-07T18:42:07.020Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f7f7f671a49094b48d6)
"unknownKey",24,"unknown",false,0,3,41941,2003480,true,2,"sbs","eggs","2014-12-07T18:42:07.044Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f7f7f671a49094b48d7)
"rightKey",6396,"nextStep",true,1,3,48337,2009876,true,2,"sbs","eggs","2014-12-07T18:42:13.440Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f857f671a49094b48d8)
"leftKey",14025,"prevStep",true,-1,4,14025,2023901,true,2,"sbs","eggs","2014-12-07T18:42:27.466Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f937f671a49094b48d9)
"leftKey",148,"prevStep",true,-1,3,148,2024049,true,2,"sbs","eggs","2014-12-07T18:42:27.613Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f937f671a49094b48da)
"rightKey",2247,"nextStep",true,1,2,2247,2026296,true,2,"sbs","eggs","2014-12-07T18:42:29.860Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f957f671a49094b48db)
"rightKey",129,"nextStep",true,1,3,129,2026425,true,2,"sbs","eggs","2014-12-07T18:42:29.989Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(54849f967f671a49094b48dc)
"unknownKey",197508,"unknown",false,0,4,197508,2223933,true,2,"sbs","eggs","2014-12-07T18:45:47.498Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a05b7f671a49094b48dd)
"unknownKey",40,"unknown",false,0,4,197548,2223973,true,2,"sbs","eggs","2014-12-07T18:45:47.537Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a05b7f671a49094b48de)
"unknownKey",21944,"unknown",false,0,4,219492,2245917,true,2,"sbs","eggs","2014-12-07T18:46:09.481Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a0717f671a49094b48df)
"unknownKey",7,"unknown",false,0,4,219499,2245924,true,2,"sbs","eggs","2014-12-07T18:46:09.489Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a0717f671a49094b48e0)
"unknownKey",3394,"unknown",false,0,4,222893,2249318,true,2,"sbs","eggs","2014-12-07T18:46:12.882Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a0747f671a49094b48e1)
"unknownKey",5631,"unknown",false,0,4,228524,2254949,true,2,"sbs","eggs","2014-12-07T18:46:18.514Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5484a07a7f671a49094b48e2)
